epoch;loss;val_loss
0;0.020585618594697878;0.11079930048027864
1;0.004858222054134981;0.061867756315170816
2;0.004459390120057304;0.06368489314107972
0;0.03779225354186363;0.09687205097682958
1;0.00539908833448696;0.07450042233338129
2;0.004807202069855788;0.06801064424831979
3;0.00462150755113149;0.05482825162758681
4;0.004329029725365389;0.044537442709646685
5;0.004217115541542667;0.04348353930834692
6;0.004149509399423218;0.04006785328679206
7;0.004038883474308486;0.03467098158449286
8;0.003992177404925909;0.03134326063935247
9;0.003966757101828561;0.0298201448457045
10;0.003923271721095041;0.02932710297290207
11;0.003861592028448297;0.02513523516096087
12;0.003814444975209197;0.0261599653104479
13;0.003791777171754564;0.02300835127355597
14;0.0037707133533956567;0.022113110339642576
15;0.003752492176234917;0.02442387151957201
16;0.0037018217378922925;0.025495233462466148
17;0.003702802123270588;0.020200449913077213
18;0.003667324072882241;0.017913883842620777
19;0.00364276052464798;0.02065642990854942
20;0.003645248606654943;0.01823699128769155
21;0.003637407526337341;0.01956456850518582
22;0.0036182272143272403;0.023270833233505095
23;0.003625255733837976;0.019895008408577806
24;0.0035621397198463967;0.017738603930298854
25;0.0035719663760582217;0.01772079279255166
26;0.0036125475618671746;0.02062279698641404
27;0.0035817939452705235;0.02045812525600948
28;0.0035318183839881147;0.017813661907597707
29;0.003505420337607658;0.02111401113850684
30;0.0035517117846757176;0.017365716937031657
31;0.0035041555073842697;0.018135874782336414
32;0.003529217438467967;0.018616691650775674
33;0.0035236254682021787;0.020142991528954615
34;0.0034916844313319017;0.018801320765768896
35;0.00347156581535838;0.01769492367328338
36;0.0034638856890690482;0.018547428420292514
37;0.0034385487289941;0.01684656725329434
38;0.0034538042566623368;0.016610551835485068
39;0.0033862013968766905;0.01813397184077099
40;0.0034100132299209733;0.01819565704479728
41;0.003404850731269012;0.017133228347097178
42;0.003382821451215183;0.01726244865967834
43;0.0034044101830036227;0.017429911107437596
44;0.0033821764836708705;0.016792975788930367
45;0.003333702346833508;0.02039527965450291
46;0.0033245336818295756;0.020574657555969628
47;0.0033719002814001703;0.018575608128268067
48;0.003308568708963838;0.01728002395371636
49;0.0033356371110463455;0.016460768655281517
